P0001,C0001,10000,2025-05-24 15:30:00,paid
P0002,C0002,50000,2025-05-25 08:00:00,pending
P0003,C0003,120000,2025-05-26 10:15:00,paid
P0004,C0004,41000,2025-05-26 11:00:00,paid
P0005,C0005,210000,2025-05-27 09:45:00,pending
P0006,C0006,430000,2025-05-27 13:20:00,paid
P0007,C0007,125000,2025-05-28 14:05:00,paid
P0008,C0008,58000,2025-05-28 16:30:00,pending
P0009,C0009,95000,2025-05-29 10:10:00,paid
P0010,C0010,125000,2025-05-29 12:00:00,paid
P0011,C0011,250000,2025-05-30 09:00:00,pending
P0012,C0012,135000,2025-05-30 11:30:00,paid
